Time,F_out,F_in
19:26:45,0.030205128,0.004498358
19:26:46,0.029521368,0.004498358
19:26:47,0.030205128,0.004498358
19:26:48,0.030034188,0.004498358
19:26:49,0.029931624,0.004498358
19:26:50,0.02965812,0.00410799
19:26:51,0.030068376,0.004111638
19:26:52,0.029794872,0.00410799
19:26:53,0.030512821,0.004458227
19:26:54,0.029521368,0.003779642
19:26:55,0.030358974,0.003779642
19:26:56,0.030837607,0.00412988
19:26:57,0.030239316,0.003473185
19:26:58,0.030376068,0.004148121
19:26:59,0.030666667,0.00410799
19:27:00,0.030222222,0.003473185
19:27:08,0.029931624,0.003473185
19:27:10,0.029641026,0.003797884
19:27:12,0.02991453,0.004498358
19:27:13,0.030376068,0.004498358
19:27:14,0.029931624,0.004498358
19:27:15,0.030222222,0.004476468
19:27:16,0.030512821,0.004126231
19:27:17,0.030222222,0.003797884
19:27:18,0.030222222,0.00410799
19:27:19,0.030051282,0.004502007
19:27:20,0.030051282,0.004151769
19:27:21,0.029897436,0.004126231
19:27:22,0.029641026,0.003816126
19:27:23,0.030068376,0.004111638
19:27:24,0.029641026,0.004523896
19:27:25,0.030188034,0.004111638
19:27:26,0.030034188,0.00412988
19:27:27,0.030358974,0.004461875
19:27:28,0.030222222,0.004151769
19:27:29,0.029504274,0.003819774
19:27:30,0.029760684,0.00412988
19:27:31,0.03034188,0.004498358
19:27:32,0.029521368,0.004498358
19:27:33,0.029606838,0.004461875
19:27:34,0.03034188,0.004126231
19:27:35,0.029897436,0.004461875
19:27:36,0.029504274,0.004855892
19:27:37,0.02974359,0.004498358
19:27:38,0.029897436,0.004498358
19:27:39,0.029623932,0.004834002
19:27:40,0.029623932,0.004483765
19:27:41,0.029897436,0.004852244
19:27:42,0.029897436,0.004812112
19:27:43,0.029487179,0.004830354
19:27:44,0.029897436,0.003757753
19:27:45,0.03034188,0.004476468
19:27:46,0.02974359,0.004815761
19:27:47,0.030034188,0.00412988
19:27:48,0.02991453,0.004476468
19:27:49,0.029213675,0.004148121
19:27:50,0.030461538,0.004151769
19:27:51,0.029880342,0.004520248
19:27:52,0.029897436,0.004830354
19:27:53,0.029367521,0.004461875
19:27:54,0.02974359,0.004148121
19:27:55,0.029726496,0.004498358
19:27:56,0.030923077,0.004151769
19:27:57,0.031230769,0.00412988
19:27:58,0.030786325,0.004502007
19:27:58,0.030205128,0.004148121
19:27:59,0.030324786,0.004476468
19:28:00,0.030188034,0.004126231
19:28:01,0.030615385,0.003757753
19:28:02,0.030769231,0.004148121
19:28:03,0.030205128,0.004498358
19:28:04,0.031213675,0.004148121
19:28:05,0.030786325,0.00348413
19:28:06,0.03017094,0.004498358
19:28:07,0.030786325,0.003775994
19:28:08,0.030188034,0.00410799
19:28:09,0.030923077,0.004476468
19:28:10,0.030495726,0.004148121
19:28:11,0.031230769,0.004148121
19:28:12,0.030188034,0.00447282
19:28:13,0.030615385,0.005206129
19:28:14,0.030478632,0.005206129
19:28:15,0.030615385,0.005228019
19:28:16,0.030786325,0.005541773
19:28:17,0.030188034,0.006187523
19:28:18,0.030376068,0.005808099
19:28:19,0.02974359,0.006183874
19:28:20,0.030478632,0.006891645
19:28:21,0.030495726,0.007245531
19:28:22,0.030615385,0.007862094
19:28:23,0.031230769,0.008219628
19:28:24,0.030769231,0.008956585
19:28:25,0.030615385,0.009624225
19:28:26,0.030615385,0.009974462
19:28:27,0.031059829,0.010678584
19:28:28,0.031076923,0.010685881
19:28:29,0.03017094,0.01066764
19:28:30,0.030632479,0.011747537
19:28:31,0.030478632,0.011331631
19:28:32,0.031076923,0.011689165
19:28:33,0.031213675,0.01163444
19:28:34,0.030188034,0.011630792
19:28:35,0.030769231,0.012334914
19:28:36,0.031401709,0.012105071
19:28:37,0.030632479,0.011681868
19:28:38,0.030615385,0.012039402
19:28:39,0.030905983,0.012327618
19:28:40,0.030786325,0.01240788
19:28:41,0.030478632,0.012736228
19:28:42,0.030615385,0.012440715
19:28:43,0.030905983,0.012338563
19:28:43,0.031042735,0.01204305
19:28:44,0.031076923,0.013042685
19:28:45,0.031076923,0.012743524
19:28:46,0.030769231,0.012382342
19:28:47,0.031196581,0.012681503
19:28:48,0.031213675,0.012334914
19:28:49,0.030923077,0.012094126
19:28:50,0.030923077,0.012754469
19:28:51,0.031059829,0.012389639
19:28:52,0.031367521,0.012396935
19:28:53,0.031521368,0.012028457
19:28:54,0.030615385,0.012743524
19:28:55,0.030598291,0.013046333
19:28:56,0.031675214,0.012510033
19:28:57,0.031042735,0.013181321
19:28:58,0.030495726,0.013060927
19:28:59,0.030598291,0.013823422
19:29:00,0.030461538,0.014454579
19:29:01,0.030923077,0.01475374
19:29:02,0.031367521,0.014699015
19:29:03,0.031487179,0.015206129
19:29:04,0.031025641,0.015746078
19:29:05,0.030598291,0.016180226
19:29:06,0.030615385,0.017533747
19:29:07,0.031367521,0.018347318
19:29:08,0.030905983,0.019273988
19:29:09,0.030905983,0.020156877
19:29:10,0.031504274,0.020197008
19:29:11,0.031042735,0.022378694
19:29:12,0.031196581,0.023549799
19:29:13,0.030598291,0.025147756
19:29:14,0.030752137,0.02651587
19:29:15,0.030615385,0.027420649
19:29:16,0.031042735,0.029638818
19:29:17,0.031948718,0.031047063
19:29:18,0.031042735,0.032977016
19:29:19,0.031025641,0.035242612
19:29:20,0.031196581,0.037307552
19:29:21,0.030735043,0.040415907
19:29:22,0.030905983,0.043020795
19:29:23,0.031794872,0.047219993
19:29:24,0.031470085,0.05025903
19:29:25,0.03165812,0.054972638
19:29:26,0.030615385,0.059605983
19:29:27,0.031059829,0.064560379
19:29:27,0.031777778,0.069543962
19:29:28,0.03208547,0.073834367
19:29:29,0.031487179,0.079905144
19:29:30,0.031059829,0.086639912
19:29:31,0.031196581,0.094078803
19:29:32,0.030752137,0.102210872
19:29:33,0.031794872,0.112849325
19:29:34,0.031213675,0.119937979
19:29:35,0.03208547,0.127712514
19:29:36,0.032324786,0.138493251
19:29:37,0.032495726,0.147665086
19:29:38,0.032324786,0.158307187
19:29:39,0.032358974,0.170634805
19:29:40,0.032205128,0.182254652
19:29:41,0.03208547,0.190572784
19:29:42,0.033555556,0.204990879
19:29:43,0.033384615,0.216844217
19:29:44,0.032666667,0.23206494
19:29:45,0.033059829,0.243392922
19:29:46,0.033230769,0.257351332
19:29:47,0.032957265,0.267843853
19:29:48,0.032769231,0.2809668
19:29:49,0.034136752,0.292309376
19:29:50,0.033982906,0.307708865
19:29:51,0.034,0.321171105
19:29:52,0.033401709,0.329653411
19:29:53,0.033538462,0.345012769
19:29:54,0.03417094,0.357818314
19:29:55,0.034153846,0.369802992
19:29:56,0.033965812,0.380853703
19:29:57,0.033675214,0.393006202
19:29:58,0.034290598,0.404793871
19:29:59,0.034478632,0.415326523
19:30:00,0.033555556,0.431911711
19:30:01,0.033094017,0.442364101
19:30:02,0.033538462,0.455622036
19:30:03,0.03417094,0.465567311
19:30:04,0.033555556,0.47434513
19:30:05,0.034512821,0.49038672
19:30:06,0.033401709,0.503174024
19:30:07,0.034188034,0.516089019
19:30:08,0.034136752,0.521105436
19:30:09,0.035179487,0.529288581
19:30:10,0.034700855,0.538865378
19:30:11,0.034871795,0.555614739
19:30:12,0.034376068,0.562188982
19:30:12,0.034307692,0.567227289
19:30:13,0.034700855,0.580693178
19:30:14,0.034888889,0.586380883
19:30:15,0.034358974,0.600985042
19:30:16,0.035282051,0.605165998
19:30:17,0.034529915,0.621098139
19:30:18,0.035452991,0.626275082
19:30:19,0.034717949,0.6313973
19:30:20,0.034991453,0.637577526
19:30:21,0.035145299,0.648792412
19:30:22,0.035606838,0.656563298
19:30:23,0.035418803,0.663228749
19:30:24,0.034991453,0.671368114
19:30:25,0.034837607,0.679883254
19:30:26,0.035760684,0.683250638
19:30:27,0.035145299,0.693943816
19:30:28,0.035435897,0.693553448
19:30:29,0.035623932,0.703141189
19:30:30,0.035452991,0.709770157
19:30:31,0.034974359,0.716034294
19:30:32,0.035606838,0.722663262
19:30:33,0.036495726,0.732437067
19:30:34,0.035333333,0.736877052
19:30:35,0.035606838,0.743538854
19:30:36,0.035333333,0.749832178
19:30:37,0.036034188,0.756121853
19:30:38,0.035880342,0.755443269
19:30:39,0.034529915,0.766114557
19:30:40,0.035606838,0.768704852
19:30:41,0.035589744,0.769799343
19:30:42,0.036034188,0.786187523
19:30:43,0.034974359,0.781962787
19:30:44,0.035863248,0.787858446
19:30:45,0.036068376,0.79535571
19:30:46,0.036222222,0.800536301
19:30:47,0.036222222,0.804976286
19:30:48,0.035145299,0.810529004
19:30:49,0.035316239,0.822528274
19:30:50,0.035316239,0.819412623
19:30:51,0.035128205,0.824593214
19:30:52,0.035128205,0.82468807
19:30:53,0.035846154,0.827635899
19:30:54,0.036495726,0.840113097
19:30:55,0.035418803,0.831382707
19:30:56,0.034991453,0.847179861
19:30:57,0.036068376,0.848278001
19:30:57,0.035435897,0.84752645
19:30:58,0.03634188,0.858336374
19:30:59,0.035555556,0.866625319
19:31:00,0.036034188,0.855997811
19:31:01,0.035418803,0.860415907
19:31:02,0.035709402,0.871353521
19:31:03,0.03574359,0.87122583
19:31:04,0.035589744,0.872334914
19:31:05,0.036495726,0.875297337
19:31:06,0.035863248,0.870609267
19:31:07,0.036495726,0.878099234
19:31:08,0.036051282,0.885658519
19:31:09,0.036495726,0.892178037
19:31:10,0.036307692,0.88509668
19:31:11,0.036017094,0.892320321
19:31:12,0.036136752,0.895282744
19:31:13,0.036034188,0.898241518
19:31:14,0.036871795,0.904823057
19:31:15,0.036717949,0.898723094
19:31:16,0.035863248,0.900565487
19:31:17,0.036700855,0.908234221
19:31:18,0.036307692,0.901400949
19:31:19,0.036512821,0.907194455
19:31:20,0.036307692,0.909773805
19:31:21,0.036649573,0.916749362
19:31:22,0.036307692,0.914560379
19:31:23,0.035418803,0.91896753
19:31:24,0.036649573,0.921189347
19:31:25,0.037059829,0.927508209
19:31:26,0.036290598,0.920824517
19:31:27,0.036034188,0.917530099
19:31:28,0.036683761,0.924505655
19:31:29,0.036666667,0.922659613
19:31:30,0.037162393,0.928190441
19:31:31,0.036871795,0.929664356
19:31:32,0.036871795,0.931138271
19:31:33,0.037145299,0.929259394
19:31:34,0.037333333,0.932977016
19:31:35,0.037230769,0.93219263
19:31:36,0.035692308,0.941546881
19:31:37,0.037059829,0.947964247
19:31:38,0.036290598,0.935855527
19:31:39,0.036854701,0.946355345
19:31:40,0.036871795,0.947836556
19:31:41,0.037162393,0.948577162
19:31:42,0.036529915,0.939890551
19:31:42,0.037128205,0.946238599
19:31:43,0.036478632,0.946607078
19:31:44,0.037965812,0.945020066
19:31:45,0.037606838,0.956720175
19:31:46,0.037162393,0.955611091
19:31:47,0.037948718,0.957088654
19:31:48,0.038239316,0.949055089
19:31:49,0.038769231,0.951619847
19:31:50,0.038222222,0.960419555
19:31:51,0.037811966,0.956920832
19:31:52,0.037863248,0.967303904
19:31:53,0.038068376,0.958394746
19:31:54,0.037606838,0.964863189
19:31:55,0.036683761,0.959865013
19:31:56,0.038051282,0.962812842
19:31:57,0.037948718,0.962812842
19:31:58,0.038854701,0.968562568
19:31:59,0.038717949,0.968562568
19:32:00,0.038034188,0.964286757
19:32:01,0.038410256,0.97189347
19:32:02,0.038222222,0.965760671
19:32:03,0.037418803,0.962615834
19:32:04,0.038478632,0.965184239
19:32:05,0.038478632,0.968704852
19:32:06,0.038666667,0.979576797
19:32:07,0.038051282,0.979576797
19:32:08,0.038034188,0.975596498
19:32:09,0.038410256,0.972758117
19:32:10,0.038324786,0.973126596
19:32:11,0.038512821,0.973863553
19:32:12,0.038683761,0.969215615
19:32:13,0.038957265,0.974232032
19:32:14,0.039606838,0.976442904
19:32:15,0.038923077,0.976442904
19:32:16,0.038940171,0.979018606
19:32:17,0.038307692,0.974713608
19:32:18,0.039128205,0.977278366
19:32:19,0.039111111,0.987066764
19:32:20,0.038957265,0.982703393
19:32:21,0.039128205,0.989288581
19:32:22,0.039965812,0.995195184
19:32:23,0.039316239,0.984914265
19:32:24,0.039504274,0.987121489
19:32:25,0.038923077,0.991138271
19:32:26,0.040239316,0.984242977
19:32:26,0.040136752,0.982411529
19:32:27,0.039128205,0.998540679
19:32:28,0.039316239,0.994469172
19:32:29,0.039504274,0.994469172
19:32:30,0.039521368,0.994469172
19:32:31,0.040410256,0.990069318
19:32:32,0.039521368,0.993360088
19:32:33,0.040188034,0.994100693
19:32:34,0.040769231,0.994100693
19:32:35,0.040410256,0.998912806
19:32:36,0.039709402,1.004520248
19:32:37,0.040034188,0.994469172
19:32:38,0.040410256,0.984611456
19:32:39,0.040461538,0.985709595
19:32:40,0.039931624,0.995950383
19:32:41,0.040222222,0.990806275
19:32:42,0.039777778,0.991543232
19:32:43,0.040222222,0.992648668
19:32:44,0.040393162,0.993017147
19:32:45,0.040205128,0.995950383
19:32:46,0.040376068,0.997431594
19:32:47,0.039931624,0.992648668
19:32:48,0.04,0.993385626
19:32:49,0.040598291,0.9981722
19:32:50,0.040376068,1.003746808
19:32:51,0.040854701,0.988642831
19:32:52,0.040666667,0.999281284
19:32:53,0.040188034,0.994491062
19:32:54,0.040649573,0.992648668
19:32:55,0.041282051,0.9981722
19:32:56,0.040632479,0.995228019
19:32:57,0.040632479,1.000390368
19:32:58,0.041282051,1.004863189
19:32:59,0.040820513,0.997435243
19:33:00,0.040188034,1.000390368
19:33:01,0.041470085,1.001130974
19:33:02,0.041264957,0.997435243
19:33:03,0.041094017,1.00187158
19:33:04,0.041675214,0.997803721
19:33:05,0.041282051,0.993407516
19:33:06,0.040837607,1.002612185
19:33:07,0.04165812,1.002984312
19:33:08,0.042119658,0.998540679
19:33:09,0.041470085,0.994509303
19:33:10,0.041282051,1.002612185
19:33:11,0.04191453,0.998909157
19:33:11,0.041863248,0.999646115
19:33:12,0.04165812,0.997803721
19:33:13,0.042119658,0.993407516
19:33:14,0.041880342,0.999646115
19:33:15,0.04217094,1.008584458
19:33:16,0.04191453,0.998540679
19:33:17,0.041726496,0.995242612
19:33:18,0.04191453,0.998909157
19:33:19,0.041897436,1.000751551
19:33:20,0.041709402,0.994874134
19:33:21,0.04217094,0.998909157
19:33:22,0.042581197,0.994140825
19:33:23,0.042119658,1.000751551
19:33:24,0.042581197,0.995607443
19:33:25,0.042358974,0.994874134
19:33:26,0.042769231,1.004461875
19:33:27,0.042837607,0.995975921
19:33:28,0.041948718,1.005574608
19:33:29,0.042581197,1.001488508
19:33:30,0.042991453,1.004461875
19:33:31,0.042376068,1.005574608
19:33:32,0.041931624,1.002225465
19:33:33,0.042376068,1.002225465
19:33:34,0.041931624,1.006683692
19:33:35,0.042598291,1.002593944
19:33:36,0.043230769,1.001856987
19:33:37,0.043025641,1.002225465
19:33:38,0.042632479,0.998175848
19:33:39,0.042837607,0.997074061
19:33:40,0.043264957,0.99780737
19:33:41,0.04217094,1.002225465
19:33:42,0.042598291,1.01341846
19:33:43,0.042803419,1.01230208
19:33:44,0.042393162,1.008533382
19:33:45,0.043059829,1.004067858
19:33:46,0.042803419,1.007052171
19:33:47,0.042666667,1.004067858
19:33:48,0.044102564,0.998540679
19:33:49,0.042598291,0.999642466
19:33:50,0.043470085,1.007012039
19:33:51,0.043504274,1.012977016
19:33:52,0.042854701,1.002207224
19:33:53,0.043675214,1.008485954
19:33:54,0.043897436,1.008854433
19:33:55,0.043897436,0.998540679
19:33:56,0.044307692,1.014454579
19:33:56,0.043863248,1.008854433
19:33:57,0.044102564,1.015195184
19:33:58,0.043846154,1.014826706
19:33:59,0.043504274,1.01593579
19:34:00,0.043264957,1.006238599
19:34:01,0.044529915,1.012539219
19:34:02,0.04408547,1.015195184
19:34:03,0.043059829,1.026942722
19:34:04,0.044512821,1.008070047
19:34:05,0.043641026,1.012907698
19:34:06,0.04365812,1.018898212
19:34:07,0.043675214,1.018526085
19:34:08,0.044102564,1.0249471
19:34:09,0.043846154,1.009536665
19:34:10,0.044923077,1.019638818
19:34:11,0.043811966,1.018898212
19:34:12,0.043470085,1.018898212
19:34:13,0.043487179,1.011736592
19:34:14,0.043692308,1.011371762
19:34:15,0.043641026,1.016957315
19:34:16,0.044307692,1.016220358
19:34:17,0.043880342,1.021856987
19:34:18,0.043435897,1.023338198
19:34:19,0.044273504,1.018431229
19:34:20,0.04408547,1.013571689
19:34:21,0.04408547,1.022597592
19:34:22,0.043811966,1.022597592
19:34:23,0.043641026,1.028664721
19:34:24,0.045162393,1.018799708
19:34:25,0.043059829,1.024819409
19:34:26,0.043282051,1.029781102
19:34:27,0.044290598,1.03126961
19:34:28,0.044051282,1.025187888
19:34:29,0.044290598,1.015403138
19:34:30,0.043897436,1.030153229
19:34:31,0.043435897,1.021379059
19:34:32,0.04408547,1.011674571
19:34:33,0.044119658,1.016136447
19:34:34,0.04425641,1.022116016
19:34:35,0.044239316,1.011309741
19:34:36,0.043641026,1.021379059
19:34:37,0.043452991,1.022849325
19:34:38,0.04408547,1.023586282
19:34:39,0.04365812,1.032754469
19:34:40,0.044700855,1.018701204
19:34:40,0.045128205,1.021747537
19:34:41,0.044017094,1.02815031
19:34:42,0.044700855,1.016869756
19:34:43,0.045401709,1.033498723
19:34:44,0.043247863,1.023586282
19:34:45,0.042820513,1.027041226
19:34:46,0.043247863,1.02432324
19:34:47,0.043247863,1.019802992
19:34:48,0.044239316,1.034987231
19:34:49,0.044478632,1.029259394
19:34:50,0.044034188,1.03
19:34:51,0.043623932,1.020167822
19:34:52,0.044495726,1.019434513
19:34:53,0.044307692,1.020167822
19:34:54,0.043247863,1.020536301
19:34:55,0.04365812,1.030372127
19:34:56,0.044923077,1.02690259
19:34:57,0.044239316,1.026165633
19:34:58,0.043213675,1.025797154
19:34:59,0.043623932,1.031109084
19:35:00,0.042803419,1.027639548
19:35:01,0.042598291,1.032221817
19:35:02,0.043606838,1.032590296
19:35:03,0.04382906,1.028008026
19:35:04,0.043435897,1.032590296
19:35:05,0.04382906,1.028008026
19:35:06,0.044034188,1.033330901
19:35:07,0.042786325,1.028376505
19:35:08,0.042786325,1.028376505
19:35:09,0.043247863,1.024199197
19:35:10,0.04382906,1.029481941
19:35:11,0.043811966,1.033330901
19:35:12,0.044683761,1.023469537
19:35:13,0.044239316,1.029481941
19:35:14,0.044034188,1.02985042
19:35:15,0.043623932,1.034071507
19:35:16,0.043606838,1.023834367
19:35:17,0.04408547,1.034812112
19:35:18,0.044273504,1.026034294
19:35:19,0.046068376,1.024567676
19:35:20,0.046444444,1.030587377
19:35:21,0.047179487,1.023469537
19:35:22,0.049777778,1.030587377
19:35:23,0.050529915,1.030955856
19:35:24,0.051811966,1.030955856
19:35:25,0.054205128,1.024567676
19:35:25,0.055538462,1.035552718
19:35:26,0.058564103,1.031324334
19:35:27,0.059521368,1.041681868
19:35:28,0.063418803,1.026034294
19:35:29,0.066786325,1.041309741
19:35:30,0.067042735,1.041681868
19:35:31,0.069641026,1.031324334
19:35:32,0.071846154,1.030587377
19:35:33,0.074205128,1.026767603
19:35:34,0.078991453,1.030955856
19:35:35,0.082461538,1.037402408
19:35:36,0.085589744,1.032057643
19:35:37,0.088222222,1.032057643
19:35:38,0.089196581,1.026399124
19:35:39,0.090923077,1.027132433
19:35:40,0.092717949,1.032057643
19:35:41,0.095487179,1.032057643
19:35:42,0.098051282,1.042053995
19:35:43,0.100752137,1.027500912
19:35:44,0.103863248,1.032794601
19:35:45,0.107076923,1.042426122
19:35:46,0.108752137,1.027132433
19:35:47,0.112376068,1.027500912
19:35:48,0.113726496,1.031689165
19:35:49,0.116923077,1.033163079
19:35:50,0.119452991,1.042053995
19:35:51,0.120512821,1.027865742
19:35:52,0.121384615,1.032426122
19:35:53,0.126,1.042798249
19:35:54,0.127948718,1.033163079
19:35:55,0.131965812,1.033163079
19:35:56,0.135623932,1.036293324
19:35:57,0.138307692,1.035921197
19:35:58,0.143042735,1.034071507
19:35:59,0.146683761,1.028744984
19:36:00,0.148632479,1.022736228
19:36:01,0.151965812,1.028744984
19:36:02,0.153196581,1.027271069
19:36:03,0.153196581,1.03759212
19:36:04,0.154461538,1.02126961
19:36:05,0.156512821,1.027271069
19:36:06,0.15774359,1.036847866
19:36:07,0.160666667,1.03184969
19:36:08,0.161811966,1.022367749
19:36:09,0.163880342,1.025060197
19:36:09,0.165316239,1.022002919
19:36:10,0.165452991,1.039649763
19:36:11,0.166905983,1.02126961
19:36:12,0.16825641,1.025797154
19:36:13,0.170136752,1.030740606
19:36:14,0.173128205,1.024691718
19:36:15,0.175726496,1.026534112
19:36:16,0.177623932,1.024691718
19:36:17,0.181025641,1.03
19:36:18,0.183076923,1.020167822
19:36:19,0.18408547,1.02432324
19:36:20,0.186803419,1.02432324
19:36:21,0.191282051,1.019069683
19:36:22,0.192017094,1.028890916
19:36:23,0.196666667,1.034615104
19:36:24,0.200581197,1.02432324
19:36:25,0.201333333,1.017967895
19:36:26,0.206547009,1.025060197
19:36:27,0.209435897,1.023586282
19:36:28,0.215897436,1.028890916
19:36:29,0.217435897,1.034242977
19:36:30,0.221367521,1.023217804
19:36:31,0.226205128,1.022116016
19:36:32,0.227470085,1.02815031
19:36:33,0.233931624,1.03387085
19:36:34,0.235213675,1.018701204
19:36:35,0.246991453,1.025187888
19:36:36,0.249059829,1.016501277
19:36:37,0.251623932,1.032754469
19:36:38,0.256940171,1.027778183
19:36:39,0.254854701,1.022116016
19:36:40,0.255760684,1.019802992
19:36:41,0.259111111,1.020642101
19:36:42,0.262222222,1.020642101
19:36:43,0.265880342,1.022116016
19:36:44,0.263145299,1.021747537
19:36:45,0.265008547,1.022480846
19:36:46,0.268735043,1.022849325
19:36:47,0.273435897,1.026669099
19:36:48,0.273641026,1.033498723
19:36:49,0.277948718,1.022116016
19:36:50,0.280512821,1.018701204
19:36:51,0.27834188,1.021747537
19:36:52,0.27834188,1.018701204
19:36:53,0.27834188,1.027778183
19:36:54,0.27782906,1.032385991
19:36:54,0.278803419,1.018336374
19:36:55,0.27834188,1.023954761
19:36:56,0.280512821,1.017603065
19:36:57,0.283418803,1.022849325
19:36:58,0.289059829,1.023586282
19:36:59,0.292461538,1.019069683
19:37:00,0.300290598,1.019434513
19:37:01,0.307264957,1.023954761
19:37:02,0.315384615,1.013133893
19:37:03,0.323418803,1.018336374
19:37:04,0.327179487,1.019069683
19:37:05,0.332820513,1.019434513
19:37:06,0.334991453,1.013133893
19:37:07,0.334940171,1.013498723
19:37:08,0.34017094,1.013498723
19:37:09,0.341025641,1.014228384
19:37:10,0.344786325,1.018701204
19:37:11,0.347863248,1.009795695
19:37:12,0.34974359,1.014228384
19:37:13,0.349282051,1.023586282
19:37:14,0.349230769,1.016869756
19:37:15,0.353965812,1.005045604
19:37:16,0.349965812,1.014228384
19:37:17,0.354871795,1.014593214
19:37:18,0.357282051,1.009069683
19:37:19,0.362051282,1.019069683
19:37:20,0.367863248,1.019069683
19:37:21,0.368290598,1.013498723
19:37:22,0.376239316,1.009069683
19:37:23,0.378034188,1.004684422
19:37:24,0.388136752,1.007256476
19:37:25,0.387555556,1.003239694
19:37:26,0.398820513,1.00834367
19:37:27,0.405042735,1.013498723
19:37:28,0.404905983,1.003962058
19:37:29,0.410188034,1.012769062
19:37:30,0.414615385,1.013863553
19:37:31,0.417401709,1.008708501
19:37:32,0.425846154,1.009069683
19:37:33,0.429760684,1.003962058
19:37:34,0.434854701,1.008708501
19:37:35,0.440136752,1.009434513
19:37:36,0.442974359,1.013498723
19:37:37,0.45025641,1.013863553
19:37:38,0.45008547,1.013863553
19:37:39,0.459316239,1.009069683
19:37:39,0.46425641,1.005406786
19:37:40,0.461589744,1.007982488
19:37:41,0.467863248,1.008708501
19:37:42,0.47042735,1.003962058
19:37:43,0.472991453,1.008708501
19:37:44,0.47765812,1.003239694
19:37:45,0.477606838,1.005045604
19:37:46,0.477555556,1.018336374
19:37:47,0.480615385,1.005406786
19:37:48,0.483179487,1.009069683
19:37:49,0.48974359,1.009795695
19:37:50,0.495863248,1.008708501
19:37:51,0.494068376,1.005406786
19:37:52,0.497299145,1.000339292
19:37:53,0.501709402,1.013498723
19:37:54,0.505299145,1.000339292
19:37:55,0.507880342,1.009795695
19:37:56,0.503931624,1.00432324
19:37:57,0.515487179,1.005045604
19:37:58,0.510905983,1.014593214
19:37:59,0.516068376,1.000696826
19:38:00,0.513794872,1.005045604
19:38:01,0.517948718,1.005406786
19:38:02,0.520512821,1.009795695
19:38:03,0.522222222,1.010160525
19:38:04,0.524786325,1.005045604
19:38:05,0.525196581,1.010521707
19:38:06,0.527401709,1.005045604
19:38:07,0.531794872,0.996034294
19:38:08,0.535213675,1.004684422
19:38:09,0.533555556,1.000696826
19:38:10,0.539145299,0.99997811
19:38:11,0.544957265,1.000696826
19:38:12,0.542700855,1.003962058
19:38:13,0.55042735,0.994958045
19:38:14,0.549179487,0.994600511
19:38:15,0.55191453,0.999620576
19:38:16,0.552410256,0.99997811
19:38:17,0.552188034,0.994958045
19:38:18,0.556,0.999259394
19:38:19,0.56034188,0.999259394
19:38:20,0.558632479,1.004684422
19:38:21,0.565008547,0.994958045
19:38:22,0.570615385,0.99997811
19:38:23,0.574529915,0.999620576
19:38:24,0.582564103,1.003962058
19:38:24,0.583897436,0.999259394
19:38:25,0.586444444,0.999259394
19:38:26,0.594188034,1.00432324
